video_id,comment_id,author,author_id,text,likes,date,video_title,video_date,language,region,mentioned_members,keywords,raw_words
l72PKh5hkf0,UgziOQd1brDqJoWm5cp4AaABAg,@miapark9748,UC38XIE1jVSGAB_SoQqAeMJg,Noah wants to be the male leaf so bad lmao 😂💜 don't worry baby your  the lead to me 1:08:40 but I can't lie Yejun is looking very handsome today that's why he's my number 2 😅💜,0,2025-12-20,노아르와 와르르의 레벨 업!👞 느와르🍔 영화제🎬 💙💜 | #플레이브 PLAVE | PLAVE Yejun & Noah Live Full Ver.,2025-12-09,en,영어권,"['노아', '예준']","{'visual': ['handsome', 'look'], 'love': ['king']}","['noah', 'wants', 'male', 'leaf', 'bad', 'lmao', 'don', 'worry', 'baby', 'lead', 'lie', 'yejun', 'looking', 'handsome', 'today', 'number']"
l72PKh5hkf0,UgzbZX8Tn_U1pxD_KPZ4AaABAg,@yufun1890,UCgPttNr1YOU-OR7YIz4wvqQ,Good Goodbye 的門在哪？我出不去了！🫶💙💜🫶,0,2025-12-09,노아르와 와르르의 레벨 업!👞 느와르🍔 영화제🎬 💙💜 | #플레이브 PLAVE | PLAVE Yejun & Noah Live Full Ver.,2025-12-09,zh,중국,[],{},"['good', 'goodbye']"
l72PKh5hkf0,UgyPu_Ans_fChUIRQMd4AaABAg,@sgib_5950,UC_khvelOUAFASe5IodrHR_Q,Pongan subtítulos en español 😭😭😭😭,1,2025-12-10,노아르와 와르르의 레벨 업!👞 느와르🍔 영화제🎬 💙💜 | #플레이브 PLAVE | PLAVE Yejun & Noah Live Full Ver.,2025-12-09,vi,베트남,[],{},['pongan']
l72PKh5hkf0,Ugx-mV1wxVbvF9e1PpF4AaABAg,@먹고싶다케잌크뇸뇸,UCoFwL2f5P64i75GP_8qUYGg,1:34:10 예준댄스느끼하지만진짜굿잘봤네유,0,2025-12-15,노아르와 와르르의 레벨 업!👞 느와르🍔 영화제🎬 💙💜 | #플레이브 PLAVE | PLAVE Yejun & Noah Live Full Ver.,2025-12-09,ko,한국,['예준'],{'talent': ['댄스']},['예준댄스느끼하지만진짜굿잘봤네유']
l72PKh5hkf0,UgwPBDc-PqaeFmXykiF4AaABAg,@ari-luv522,UCuXi0GALgWc-boZHdYJhRCA,"그래서 햄버거는 치즈버거인가요, 불고기버거인가요?",13,2025-12-09,노아르와 와르르의 레벨 업!👞 느와르🍔 영화제🎬 💙💜 | #플레이브 PLAVE | PLAVE Yejun & Noah Live Full Ver.,2025-12-09,ko,한국,[],{},"['햄버거는', '치즈버거인가요', '불고기버거인가요']"
l72PKh5hkf0,Ugzfz2QEl-hus6LlRyB4AaABAg,@Sinkim04821,UCYQAFpRFIUKJYgBttrQwWcg,1:23:40 어머니들둥절,1,2025-12-10,노아르와 와르르의 레벨 업!👞 느와르🍔 영화제🎬 💙💜 | #플레이브 PLAVE | PLAVE Yejun & Noah Live Full Ver.,2025-12-09,ko,한국,[],{},['어머니들둥절']
l72PKh5hkf0,UgxvZ71vgNlsfWc3nX94AaABAg,@miiyoong,UCoYlsVCSaL-9O6PlR89KZ2A,두고두고 돌려볼 라방ㅋㅋㅋㅋㅋㅋ진짜 넘 웃겨서 뒷골 땡김ㅋㅋㅋㅋㅋㅋㅋ,2,2025-12-09,노아르와 와르르의 레벨 업!👞 느와르🍔 영화제🎬 💙💜 | #플레이브 PLAVE | PLAVE Yejun & Noah Live Full Ver.,2025-12-09,ko,한국,[],{},"['두고두고', '돌려볼', '라방', '웃겨서', '뒷골', '땡김']"
l72PKh5hkf0,Ugznx6GIICVgKpcVSmJ4AaABAg,@5p1p-800,UCiG3BWlFLAKlBB9lQy5scKA,"오늘도 정말 많이 웃었다🤣
얘들아~~건강 잘 챙기구~~사랑해💙💜",5,2025-12-08,노아르와 와르르의 레벨 업!👞 느와르🍔 영화제🎬 💙💜 | #플레이브 PLAVE | PLAVE Yejun & Noah Live Full Ver.,2025-12-09,ko,한국,[],{'love': ['사랑']},"['오늘도', '많이', '웃었다', '얘들아', '건강', '챙기구', '사랑해']"
l72PKh5hkf0,UgxqjZ4CcY8jdDm2UR54AaABAg,@주먹밥-q8m,UCq-aEDNAu39FKABLbgUVh_A,"1:01:14 노아 제목 아 영화제목 

오늘도 노아어 등록",1,2025-12-10,노아르와 와르르의 레벨 업!👞 느와르🍔 영화제🎬 💙💜 | #플레이브 PLAVE | PLAVE Yejun & Noah Live Full Ver.,2025-12-09,ko,한국,['노아'],{},"['노아', '제목', '영화제목', '오늘도', '노아어', '등록']"
l72PKh5hkf0,Ugwb4FM7CvzVy5jFbQh4AaABAg,@므밍플리,UCXAnXDpr-mVQ81hyNrE_-kg,"01:19:06~01:19:21
이부분 왜이렇게 웃기죠….😂😂",0,2025-12-10,노아르와 와르르의 레벨 업!👞 느와르🍔 영화제🎬 💙💜 | #플레이브 PLAVE | PLAVE Yejun & Noah Live Full Ver.,2025-12-09,ko,한국,[],{},"['이부분', '왜이렇게', '웃기죠']"
l72PKh5hkf0,UgwQTxJQhsWAS5sKlh94AaABAg,@Itssunny-u1w,UCNtSikP0URZNjVqCx7nYybA,근래 라방 중 순수 재미로 제일 많이 웃었던거 같음ㅋㅋㅋㅋㅋ 저 맥락없는 대본짜기가 걍 너무 웃겨 ㅋㅋㅋㅋ,33,2025-12-09,노아르와 와르르의 레벨 업!👞 느와르🍔 영화제🎬 💙💜 | #플레이브 PLAVE | PLAVE Yejun & Noah Live Full Ver.,2025-12-09,ko,한국,[],{'personality': ['재미']},"['근래', '라방', '순수', '재미로', '제일', '많이', '웃었던거', '같음', '맥락없는', '대본짜기가', '웃겨']"
l72PKh5hkf0,Ugw_Jia_gz-f0DayHrJ4AaABAg,@윰윰-w1n,UCLlhsNni3tqlvCe8Qsv1Nbw,역대급 마탕즈였음ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,3,2025-12-09,노아르와 와르르의 레벨 업!👞 느와르🍔 영화제🎬 💙💜 | #플레이브 PLAVE | PLAVE Yejun & Noah Live Full Ver.,2025-12-09,ko,한국,[],{},"['역대급', '마탕즈였음']"
l72PKh5hkf0,Ugw01e68f9Cfitl666x4AaABAg,@별하-021,UCOzLc3abdFzNa-yrILpjTHw,월요병 치유해줘서 고마웠오💙💜 맛탕즈 라방 재밌었당😍,3,2025-12-09,노아르와 와르르의 레벨 업!👞 느와르🍔 영화제🎬 💙💜 | #플레이브 PLAVE | PLAVE Yejun & Noah Live Full Ver.,2025-12-09,ko,한국,[],{'love': ['고마']},"['월요병', '치유해줘서', '고마웠오', '맛탕즈', '라방', '재밌었당']"
l72PKh5hkf0,Ugx9Yt3loHXn4RHbVKp4AaABAg,@cloud61129,UCTJzlCy3G9zVbBzxVQm0vUQ,51:32,0,2025-12-18,노아르와 와르르의 레벨 업!👞 느와르🍔 영화제🎬 💙💜 | #플레이브 PLAVE | PLAVE Yejun & Noah Live Full Ver.,2025-12-09,unknown,기타,[],{},[]
l72PKh5hkf0,UgzDtQMI8JUka6j07Q14AaABAg,@TheAokijin,UCG8LwVlhzzhRLDjedkur2Cg,1:58:32 요트 나와서 기쁜 예주니ㅋㅋㅋㅋㅋㅋ,9,2025-12-08,노아르와 와르르의 레벨 업!👞 느와르🍔 영화제🎬 💙💜 | #플레이브 PLAVE | PLAVE Yejun & Noah Live Full Ver.,2025-12-09,ko,한국,[],{},"['요트', '나와서', '기쁜', '예주니']"
l72PKh5hkf0,UgzOvZkPojEyObUDG-l4AaABAg,@풀-l7u,UCTGoUVtYru9JwSwxtcilJvQ,1:31:20 너무설렘😳,1,2025-12-09,노아르와 와르르의 레벨 업!👞 느와르🍔 영화제🎬 💙💜 | #플레이브 PLAVE | PLAVE Yejun & Noah Live Full Ver.,2025-12-09,ko,한국,[],{},['너무설렘']
l72PKh5hkf0,Ugxzzh1C0it8hTSCpZh4AaABAg,@태-s2c,UCQGjqenIiHir8g1lCMA6e9g,2:06:20 아 깜찍해,1,2025-12-09,노아르와 와르르의 레벨 업!👞 느와르🍔 영화제🎬 💙💜 | #플레이브 PLAVE | PLAVE Yejun & Noah Live Full Ver.,2025-12-09,ko,한국,[],{},['깜찍해']
l72PKh5hkf0,UgztpHIH0wdQKBOUbRZ4AaABAg,@firalf5077,UCeWAHIuF0Z8iOsSWFU4MKVw,Muter2 aja terus gue di bagian 1:31:14 cuyyyyyyy 😭🫶🏻💙💜,0,2025-12-10,노아르와 와르르의 레벨 업!👞 느와르🍔 영화제🎬 💙💜 | #플레이브 PLAVE | PLAVE Yejun & Noah Live Full Ver.,2025-12-09,en,영어권,[],{},"['aja', 'terus', 'gue', 'bagian', 'cuyyyyyyy']"
l72PKh5hkf0,Ugy48tnOOAt9typK3Bx4AaABAg,@atima_ayu,UCOOCJyPv1cYf65Kpx4hSr5A,1:30:58 is a lovely scene,0,2025-12-09,노아르와 와르르의 레벨 업!👞 느와르🍔 영화제🎬 💙💜 | #플레이브 PLAVE | PLAVE Yejun & Noah Live Full Ver.,2025-12-09,en,영어권,[],{'love': ['love']},"['lovely', 'scene']"
l72PKh5hkf0,UgyAeIueY3NELEQJpbd4AaABAg,@jojojowaaa,UCikDBDJNKC8w7p8q-mmqzYA,1:31:36 STOP GW YG BAPER 😭😭,0,2025-12-09,노아르와 와르르의 레벨 업!👞 느와르🍔 영화제🎬 💙💜 | #플레이브 PLAVE | PLAVE Yejun & Noah Live Full Ver.,2025-12-09,en,영어권,[],{},"['stop', 'baper']"
l72PKh5hkf0,Ugz-neHBCfw9Fx0bguF4AaABAg,@Luria-m5q,UC1ZN5B7aAmD4k-Nd7rxoWFw,예준이 작명센스 ㅋㅋㅋㅋㅋ근데 막춘이랑 기태 이름 듣다보니 벌써 정들었어 ㅋㅋㅋ,8,2025-12-09,노아르와 와르르의 레벨 업!👞 느와르🍔 영화제🎬 💙💜 | #플레이브 PLAVE | PLAVE Yejun & Noah Live Full Ver.,2025-12-09,ko,한국,['예준'],{'personality': ['센스']},"['예준이', '작명센스', '근데', '막춘이랑', '기태', '이름', '듣다보니', '벌써', '정들었어']"
l72PKh5hkf0,Ugzngn1PEXxJSgBFeEZ4AaABAg,@heather0524,UCXUWvJZ5MLJkylyOBz0Y3mA,아스테룸에 가습기 여러대 설치해주십사 부탁을 드려요^-^,4,2025-12-10,노아르와 와르르의 레벨 업!👞 느와르🍔 영화제🎬 💙💜 | #플레이브 PLAVE | PLAVE Yejun & Noah Live Full Ver.,2025-12-09,ko,한국,[],{},"['아스테룸에', '가습기', '여러대', '설치해주십사', '부탁을', '드려요']"
l72PKh5hkf0,Ugx96mTbdkdBZC56jI14AaABAg,@sodayaa,UCVA6s21A1GmThaoLWiWjBQQ,50:35,0,2025-12-10,노아르와 와르르의 레벨 업!👞 느와르🍔 영화제🎬 💙💜 | #플레이브 PLAVE | PLAVE Yejun & Noah Live Full Ver.,2025-12-09,unknown,기타,[],{},[]
